"","subID","phase","ln_AF7","ln_AF3","ln_AF4","ln_AF8","ln_F7","ln_F5","ln_F3","ln_F4","ln_F6","ln_F8","Left","Right","FAS","pre_FAS","delta_FAS_rest"
"1","a01","b01",-0.298312029755,-0.456540994237677,-0.127240565345179,-1.04996040002123,-0.406265935172968,-0.399766305703875,-0.355782094332649,-0.296054953030933,-0.370343646217246,-0.796932378844964,-0.383333471840434,-0.52810638869191,-0.144772916851476,-0.295369225484914,0.150596308633438
"2","a01","b02",-0.353232200799509,-0.443286024981885,-0.0835927405494622,-0.976176200119703,-0.420279610852726,-0.410823504311712,-0.364022747957338,-0.229142605696156,-0.369151041151938,-0.719981512777505,-0.398328817780634,-0.475608820058953,-0.0772800022783188,-0.295369225484914,0.218089223206595
"3","a01","b03",-0.373232007729214,-0.471527961540941,-0.186810383776898,-1.0609708769748,-0.451001782306353,-0.437387554295615,-0.387711068807417,-0.262613756389013,-0.583116491787838,-0.919032606547567,-0.424172074935908,-0.602508823095224,-0.178336748159315,-0.295369225484914,0.117032477325598
"4","a01","b04",-0.436121149606265,-0.585546821868541,-0.226059897573915,-1.23796804407244,-0.584936851532475,-0.567067384869752,-0.51901457982368,-0.333619668287041,-0.739903068735692,-1.11150445281148,-0.538537357540143,-0.729811026296113,-0.19127366875597,-0.295369225484914,0.104095556728943
"5","a01","b05",-0.574032976683435,-0.532452320061531,-0.308139912586973,-1.26192660339709,-0.467252378880236,-0.449845022474478,-0.399768752498079,-0.362813235965182,-0.796392731587265,-1.00020194470486,-0.484670290119552,-0.745894885648275,-0.261224595528723,-0.295369225484914,0.0341446299561906
"6","a01","b06",-0.44897630724895,-0.469657869459764,-0.299200873641474,-1.17957102595572,-0.440560310688218,-0.436348426343384,-0.351994154447727,-0.338300920752063,-0.729617389445087,-0.97238181622871,-0.429507413637609,-0.703814405204611,-0.274306991567003,-0.295369225484914,0.0210622339179111
"7","a01","b07",-0.363798897719544,-0.393207085035795,-0.221438091798041,-0.996694588886869,-0.409236741202872,-0.398309123537219,-0.33866710527409,-0.349358094198377,-0.687324384851564,-0.847175778918351,-0.380643790553904,-0.620398187730641,-0.239754397176736,-0.295369225484914,0.0556148283081772
"8","a01","b08",-0.437531263896643,-0.52021814945243,-0.389812969924513,-1.27143523004201,-0.522717628446728,-0.503266851010733,-0.450098386409468,-0.37743195448743,-0.745455321635302,-1.02993858529041,-0.4867664558432,-0.762814812275934,-0.276048356432734,-0.295369225484914,0.0193208690521801
"9","a01","b09",-0.332018481925304,-0.316692213399488,-0.176248046192949,-1.08867842003559,-0.341363614916947,-0.331996868673048,-0.233351042555143,-0.243988837217049,-0.701696497315029,-1.01422252726958,-0.311084444293986,-0.644966865606041,-0.333882421312055,-0.295369225484914,-0.0385131958271412
"10","a01","b10",-0.524848761961367,-0.577443745691944,-0.412470204965835,-1.19624411937529,-0.486028437026353,-0.474884506924708,-0.425897856847309,-0.416960129384108,-0.701445620211687,-1.05429324910675,-0.497820661690336,-0.756282664608735,-0.258462002918399,-0.295369225484914,0.0369072225665144
"11","a01","b11",-0.445516816139756,-0.461353942332543,-0.316600825976925,-1.20805619837265,-0.573451261158141,-0.570199317912195,-0.471624765681533,-0.305089021403836,-0.644115682942087,-1.00577884707193,-0.504429220644834,-0.695928115153487,-0.191498894508653,-0.295369225484914,0.10387033097626
"12","a01","b12",-0.296419133689218,-0.436638901833877,-0.293013687236479,-1.0930847900377,-0.33883094340451,-0.325418398337608,-0.28343691297029,-0.239672960329902,-0.594605777603711,-0.887409774764274,-0.3361488580471,-0.621557397994413,-0.285408539947313,-0.295369225484914,0.00996068553760088
