"","subID","phase","ln_Fz","pre_MFT","delta_MFT_rest"
"1","a01","b01",0.473115779653744,0.278164084079028,0.194951695574716
"2","a01","b02",0.512914611771937,0.278164084079028,0.234750527692909
"3","a01","b03",0.436450034864656,0.278164084079028,0.158285950785627
"4","a01","b04",0.506598933391514,0.278164084079028,0.228434849312486
"5","a01","b05",0.551609424634383,0.278164084079028,0.273445340555355
"6","a01","b06",0.547210971721863,0.278164084079028,0.269046887642834
"7","a01","b07",0.553808473145362,0.278164084079028,0.275644389066333
"8","a01","b08",0.601950139215542,0.278164084079028,0.323786055136514
"9","a01","b09",0.61860104521361,0.278164084079028,0.340436961134581
"10","a01","b10",0.677106673682732,0.278164084079028,0.398942589603703
"11","a01","b11",0.629268056447392,0.278164084079028,0.351103972368363
"12","a01","b12",0.821048023944061,0.278164084079028,0.542883939865033
"13","a01","b13",0.61939525268999,0.278164084079028,0.341231168610962
"14","a01","b14",0.842190349664193,0.278164084079028,0.564026265585165
"15","a01","b15",0.789184837852664,0.278164084079028,0.511020753773635
"16","a01","b16",0.793492312061918,0.278164084079028,0.515328227982889
"17","a01","b17",0.732301662747402,0.278164084079028,0.454137578668374
"18","a01","b18",0.695430967257375,0.278164084079028,0.417266883178346
"19","a01","b19",0.717080808087208,0.278164084079028,0.438916724008179
"20","a01","b20",0.718662864331895,0.278164084079028,0.440498780252866
"21","a01","pretest",0.278164084079028,0.278164084079028,0
"22","a02","b01",0.400048809776721,0.227855024888105,0.172193784888616
"23","a02","b02",0.384798621475723,0.227855024888105,0.156943596587618
"24","a02","b03",0.631803999124545,0.227855024888105,0.403948974236439
"25","a02","b04",0.514974925275799,0.227855024888105,0.287119900387693
"26","a02","b05",0.522717171397879,0.227855024888105,0.294862146509773
"27","a02","b06",0.488545526223194,0.227855024888105,0.260690501335089
"28","a02","b07",0.856384290024834,0.227855024888105,0.628529265136728
"29","a02","b08",0.8344644869011,0.227855024888105,0.606609462012994
"30","a02","b09",0.726345776994758,0.227855024888105,0.498490752106653
"31","a02","b10",0.936357508135633,0.227855024888105,0.708502483247527
"32","a02","b11",0.454298579813079,0.227855024888105,0.226443554924974
"33","a02","b12",0.715817981710939,0.227855024888105,0.487962956822834
"34","a02","b13",0.542105525649873,0.227855024888105,0.314250500761768
"35","a02","b14",0.540378891145555,0.227855024888105,0.31252386625745
"36","a02","b15",0.56972016544776,0.227855024888105,0.341865140559654
"37","a02","b16",0.729515695451977,0.227855024888105,0.501660670563871
"38","a02","b17",0.625142457837807,0.227855024888105,0.397287432949702
"39","a02","b18",0.72757009501699,0.227855024888105,0.499715070128884
"40","a02","b19",0.575606454378366,0.227855024888105,0.347751429490261
"41","a02","b20",0.769898803142002,0.227855024888105,0.542043778253897
"42","a02","pretest",0.227855024888105,0.227855024888105,0
"43","a03","b01",0.967097459142406,1.17280168813952,-0.205704228997109
"44","a03","b02",1.07094990576982,1.17280168813952,-0.101851782369698
"45","a03","b03",0.939422640817494,1.17280168813952,-0.233379047322021
"46","a03","b04",1.17654352544801,1.17280168813952,0.00374183730849298
"47","a03","b05",1.1478561191226,1.17280168813952,-0.0249455690169105
"48","a03","b06",1.05693391046978,1.17280168813952,-0.115867777669732
"49","a03","b07",1.09708759516002,1.17280168813952,-0.0757140929794913
"50","a03","b08",1.15307131311084,1.17280168813952,-0.0197303750286779
"51","a03","b09",0.974579780717948,1.17280168813952,-0.198221907421567
"52","a03","b10",1.10473511883606,1.17280168813952,-0.068066569303455
"53","a03","b11",0.950240614929863,1.17280168813952,-0.222561073209652
"54","a03","b12",1.13072438140243,1.17280168813952,-0.042077306737089
"55","a03","b13",1.03688501856006,1.17280168813952,-0.135916669579459
"56","a03","b14",0.928205162791286,1.17280168813952,-0.244596525348229
"57","a03","b15",1.16464985822,1.17280168813952,-0.00815182991951047
"58","a03","b16",0.963973014621354,1.17280168813952,-0.208828673518161
"59","a03","b17",0.918517504014327,1.17280168813952,-0.254284184125189
"60","a03","b18",0.998529290575923,1.17280168813952,-0.174272397563592
"61","a03","b19",1.08884827369151,1.17280168813952,-0.083953414448005
"62","a03","b20",1.01070735907139,1.17280168813952,-0.162094329068126
"63","a03","pretest",1.17280168813952,1.17280168813952,0
"64","a04","b01",1.15740464491352,0.701490518658451,0.455914126255073
"65","a04","b02",1.23189950834897,0.701490518658451,0.530408989690518
"66","a04","b03",1.02051586649004,0.701490518658451,0.319025347831591
"67","a04","b04",1.13346512535168,0.701490518658451,0.431974606693226
"68","a04","b05",1.16349073259297,0.701490518658451,0.462000213934523
"69","a04","b06",1.02874348194727,0.701490518658451,0.327252963288822
"70","a04","b07",1.13215946154285,0.701490518658451,0.430668942884402
"71","a04","b08",1.01574610425296,0.701490518658451,0.314255585594512
"72","a04","b09",1.04526374882707,0.701490518658451,0.343773230168622
"73","a04","b10",1.08048973355276,0.701490518658451,0.378999214894309
"74","a04","b11",1.03587519423011,0.701490518658451,0.334384675571655
"75","a04","b12",0.924078460542695,0.701490518658451,0.222587941884245
"76","a04","b13",0.932352005026044,0.701490518658451,0.230861486367593
"77","a04","b14",0.890059480951829,0.701490518658451,0.188568962293378
"78","a04","b15",1.07895535602011,0.701490518658451,0.377464837361658
"79","a04","b16",1.11290013615269,0.701490518658451,0.411409617494239
"80","a04","b17",0.923866348684932,0.701490518658451,0.222375830026481
"81","a04","b18",1.08403401935081,0.701490518658451,0.382543500692356
"82","a04","b19",0.891286849045412,0.701490518658451,0.189796330386961
"83","a04","b20",0.945309729988353,0.701490518658451,0.243819211329902
